Language,Sentence
English,The cat sat on the mat.
English,She loves to read books.
English,He is going to the market.
English,They are playing soccer.
English,The sun is shining brightly.
English,Can you help me with this?
English,I enjoy listening to music.
English,The flowers are blooming.
English,This is my favorite movie.
English,He works in a bank.
English,The kids are playing in the park.
English,She cooked a delicious meal.
English,It is raining outside.
English,We are going on a vacation.
English,He bought a new car.
English,The dog is very friendly.
English,She sings beautifully.
English,They live in a big house.
English,He is a good teacher.
English,The meeting starts at 10 AM.
French,Le chat est assis sur le tapis.
French,Elle aime lire des livres.
French,Il va au marché.
French,Ils jouent au football.
French,Le soleil brille de mille feux.
French,Peux-tu m'aider avec ça ?
French,J'aime écouter de la musique.
French,Les fleurs sont en train de fleurir.
French,C'est mon film préféré.
French,Il travaille dans une banque.
French,Les enfants jouent dans le parc.
French,Elle a cuisiné un délicieux repas.
French,Il pleut dehors.
French,Nous partons en vacances.
French,Il a acheté une nouvelle voiture.
French,Le chien est très amical.
French,Elle chante magnifiquement.
French,Ils habitent dans une grande maison.
French,Il est un bon professeur.
French,La réunion commence à 10h.
Luxembourgish,D'Kaz sëtzt op der Mat.
Luxembourgish,Si liest gär Bicher.
Luxembourgish,Hie geet op de Maart.
Luxembourgish,Si spillen Fussball.
Luxembourgish,D'Sonn schéngt hell.
Luxembourgish,Kanns du mir heibäi hëllefen?
Luxembourgish,Ech lauschteren gär Musek.
Luxembourgish,D'Blummen bléien.
Luxembourgish,Dëst ass mäi léifste Film.
Luxembourgish,Hie schafft an enger Bank.
Luxembourgish,D'Kanner spillen am Park.
Luxembourgish,Si huet e leckere Moolzecht gekacht.
Luxembourgish,Et reent dobaussen.
Luxembourgish,Mir ginn an d'Vakanz.
Luxembourgish,Hien huet en neit Auto kaf.
Luxembourgish,Den Hond ass ganz frëndlech.
Luxembourgish,Si séngt schéin.
Luxembourgish,Si wunnen an engem groussen Haus.
Luxembourgish,Hien ass e gudde Proff.
Luxembourgish,D'Versammlung fänkt um 10 Auer un.
German,Der Hund bellt laut.
German,"Ich liebe es, Bücher zu lesen."
German,Das Wetter ist heute schön.
German,Wir gehen morgen ins Kino.
German,Sie kocht gerne italienisches Essen.
German,Der Apfel fällt nicht weit vom Stamm.
German,Ich habe meine Hausaufgaben gemacht.
German,Er spielt jeden Samstag Fußball.
German,Die Blumen im Garten blühen.
German,Kannst du mir bitte helfen?
German,Das Auto ist neu und schnell.
German,Sie arbeitet in einem Krankenhaus.
German,Die Kinder spielen auf dem Spielplatz.
German,Er fährt jeden Tag mit dem Fahrrad zur Arbeit.
German,Der Kaffee schmeckt heute besonders gut.
German,Wir planen eine Reise nach Frankreich.
German,Das Buch ist sehr spannend.
German,Sie singt in einem Chor.
German,Der Film beginnt um 20 Uhr.
German,Ich habe gestern einen langen Spaziergang gemacht.
